date,max,min
2025-01-31,10.6,-0.7
2025-02-01,14.8,-0.1
2025-02-02,9.6,2.7
2025-02-03,7.5,0.3
2025-02-04,13.7,-1.4
2025-02-05,9.8,-0.8
2025-02-06,11.5,-2.3
2025-02-07,10.8,3.0
2025-02-08,11.7,0.8
2025-02-09,14.7,7.7
2025-02-10,15.8,5.9
2025-02-11,14.4,2.2
2025-02-12,11.7,4.8
2025-02-13,15.2,5.3
2025-02-14,17.9,2.5
2025-02-15,15.9,2.8
2025-02-16,16.8,3.2
2025-02-17,15.7,5.3
2025-02-18,13.7,4.3
2025-02-19,15.0,6.3
2025-02-20,17.6,2.9
2025-02-21,14.5,6.2
2025-02-22,12.7,3.4
2025-02-23,16.0,0.2
2025-02-24,17.4,4.2
2025-02-25,13.9,3.1
2025-02-26,14.5,-0.1
2025-02-27,14.7,5.0
2025-02-28,14.0,5.8
2025-03-01,8.0,2.7
2025-03-02,7.3,2.6
2025-03-03,11.6,5.4
2025-03-04,16.6,6.1
2025-03-05,15.1,7.4
2025-03-06,16.1,6.8
2025-03-07,13.8,4.0
2025-03-08,12.1,4.5
2025-03-09,12.8,3.6
2025-03-10,12.1,2.4
2025-03-11,11.6,6.0
